<BEGIN>;;;;;;;;;;;;
<Hydro turbines>;;;;;;;;;;;;
Name;Hydro reservoir ID;Hydro reservoir name;Group ID;Group name;Unit ID;Bus ID;Minimum generation (MW);Maximum generation (MW);Minimum turbine discharge (m3/s);Maximum turbine discharge (m3/s);Turbine type;Comments
G11-JUPIA;45;JUPIA;3;Group 3;11;502;25;110.8;298;596;Kaplan;
G12-JUPIA;45;JUPIA;3;Group 3;12;502;25;110.8;298;596;Kaplan;
G13-JUPIA;45;JUPIA;4;Group 4;13;502;50;110.8;298;596;Kaplan;
G14-JUPIA;45;JUPIA;3;Group 3;14;502;25;110.8;298;596;Kaplan;
G1-TRES IRMAOS;43;TRES IRMAOS;1;Group 1;1;520;140;161.5;265;441;Francis;
G2-TRES IRMAOS;43;TRES IRMAOS;1;Group 1;2;520;140;161.5;265;441;Francis;
G3-TRES IRMAOS;43;TRES IRMAOS;1;Group 1;3;520;140;161.5;265;441;Francis;
G4-TRES IRMAOS;43;TRES IRMAOS;1;Group 1;4;520;140;161.5;265;441;Francis;
G5-TRES IRMAOS;43;TRES IRMAOS;1;Group 1;5;520;140;161.5;265;441;Francis;
G1-I. SOLTEIRA;34;I. SOLTEIRA;1;Group 1;1;501;130;176;288;480;Francis;
G2-I. SOLTEIRA;34;I. SOLTEIRA;1;Group 1;2;501;130;176;288;480;Francis;
G3-I. SOLTEIRA;34;I. SOLTEIRA;1;Group 1;3;501;130;176;288;480;Francis;
G4-I. SOLTEIRA;34;I. SOLTEIRA;1;Group 1;4;501;130;176;288;480;Francis;
G5-I. SOLTEIRA;34;I. SOLTEIRA;2;Group 2;5;501;90;170;278.4;464;Francis;
G6-I. SOLTEIRA;34;I. SOLTEIRA;2;Group 2;6;501;90;170;278.4;464;Francis;
G7-I. SOLTEIRA;34;I. SOLTEIRA;2;Group 2;7;501;90;170;278.4;464;Francis;
G8-I. SOLTEIRA;34;I. SOLTEIRA;2;Group 2;8;501;90;170;278.4;464;Francis;
G9-I. SOLTEIRA;34;I. SOLTEIRA;2;Group 2;9;501;90;170;278.4;464;Francis;
G10-I. SOLTEIRA;34;I. SOLTEIRA;2;Group 2;10;501;90;170;278.4;464;Francis;
G11-I. SOLTEIRA;34;I. SOLTEIRA;2;Group 2;11;501;90;170;278.4;464;Francis;
G12-I. SOLTEIRA;34;I. SOLTEIRA;2;Group 2;12;501;90;170;278.4;464;Francis;
G13-I. SOLTEIRA;34;I. SOLTEIRA;2;Group 2;13;501;90;170;278.4;464;Francis;
G14-I. SOLTEIRA;34;I. SOLTEIRA;2;Group 2;14;501;90;170;278.4;464;Francis;
G15-I. SOLTEIRA;34;I. SOLTEIRA;2;Group 2;15;501;90;170;278.4;464;Francis;
G16-I. SOLTEIRA;34;I. SOLTEIRA;3;Group 3;16;501;90;174;285;475;Francis;
G17-I. SOLTEIRA;34;I. SOLTEIRA;3;Group 3;17;501;90;174;285;475;Francis;
G18-I. SOLTEIRA;34;I. SOLTEIRA;3;Group 3;18;501;90;174;285;475;Francis;
